Sensor 1: 
8x8 GRID
 339  357  337  394  367  376  347  309
 336  354  364  377  375  398 1978  296
 314  425  373  419 2027 1998 1994 2046
 353 1869  370  470  482  372 2056 2008
1865 1822 1830 1928 2034 1947 1888 1912
1825 1866 1819 1924 1927 1942 1909 1944
1916 1778 1897 1800 1832 1895 1951 1901
1717 1743 1747 1834 1789 1844 1882 1812
Sensor 1: 
8x8 GRID
2998  367  361  342  379  387  341 1729
 802  394  394  378  398  375 2026 1953
2025  410 1864  472  483  450 1945 1948
 450 1882 1868 1983  483 1978 1879 1911
 346 1859 1900 1975 1919 1869 1972 1887
   0 1809 1859 1879 1911 1946 1927 1874
1451 1891 1834 1835 1860 1859 1850 1814
